source,target,weight
25168,25244,137
25168,67341,69
25168,203251,115
25168,220072,98
25168,250674,121
25168,276308,136
25168,307685,164
25168,385125,140
25168,490434,115
25168,515201,169
25168,550393,98
25168,654310,157
25168,666436,169
25168,780960,67
25168,807635,178
25168,848668,93
25168,880518,147
25168,895583,178
25168,902967,137
25168,1025204,135
25168,1247733,80
25168,1355949,140
25168,1554549,148
25168,1704386,94
25168,1747883,120
25168,1792593,99
25168,1929132,147
25168,1974229,177
25168,2208815,102
25168,2347118,155
25168,2550295,112
25168,2612212,63
25168,2720714,153
25168,2739036,155
25168,2758712,163
25168,2972115,119
25168,3067018,92
25168,3125825,156
25168,3442105,63
25168,3445658,169
25168,3508411,88
25168,3551884,107
25168,3566164,177
25168,3914635,150
25168,3935619,100
25168,4102414,133
25168,4728372,150
25168,5315496,91
25168,5435544,181
25168,5909740,136
25168,6013145,119
25168,6120703,150
25168,6124562,159
25168,6368853,114
25168,6471245,151
25168,6759373,138
25168,7386595,104
25168,7464607,105
25168,7866383,155
25168,8057165,143
25168,8928644,180
25168,9158973,129
25168,9269323,104
25168,9641698,119
25168,9835023,176
25168,10309746,130
25168,10518385,174
25168,11210076,110
25168,11324974,147
25168,11335169,145
25168,13016094,174
25168,13111268,131
25168,13248405,122
25168,15664822,114
25168,16543435,127
25168,17048914,143
25168,17148957,178
25168,18233990,125
25168,19295034,139
25168,19527481,155
25168,20035220,159
25168,20847375,139
25168,22471951,144
25168,23110383,137
25168,23475292,145
25168,23759726,130
25168,25153016,174
25168,26612772,129
25168,27113401,158
25168,27578194,113
25168,28571706,131
25168,29074901,82
25168,29152006,128
25168,30657250,139
25168,32015730,122
25168,32114010,123
25168,33979139,117
25168,34485997,175
25168,39850798,118
25168,40717912,152
25168,41323999,154
25168,47795185,142
25168,48896524,107
25168,53514759,140
25168,56654439,160
25168,57453426,109
25168,59399511,169
25168,63677967,141
25168,66098142,159
25168,67284155,150
25168,72608525,163
25168,74690457,91
25168,76747292,177
25168,83874759,135
25168,84045725,129
25168,93396188,124
25168,105046520,148
25168,107661810,142
25168,110305573,123
25168,125494035,5
25168,134011850,136
25168,134534343,147
25168,136256485,122
25168,136560781,183
25168,151963102,104
25168,152255428,87
25168,152791599,118
25168,154584279,153
25168,154910442,106
25168,156115845,160
25168,164551955,120
25168,164753298,160
25168,167995034,160
25168,170339422,118
25168,171547707,153
25168,177563280,177
25168,181121949,159
25168,185891476,137
25168,199794851,142
25168,202747756,145
25168,204001488,161
25168,205857661,110
25168,209348535,174
25168,210709821,130
25168,215931390,111
25168,219448811,177
25168,222278960,181
25168,228150777,148
25168,231899366,131
25168,233282882,162
25168,241321211,175
25168,245599307,163
25168,246988548,147
25168,254536417,142
25168,258417559,134
25168,261003597,151
25168,262108465,137
25168,271272137,112
25168,273053830,163
25168,274079088,179
25168,276330574,89
25168,279275691,35
25168,282299672,27
25168,286433067,178
25168,287396980,161
25168,295306927,106
25168,301002857,129
25168,305774560,142
25168,316561081,63
25168,339565988,175
25168,344658318,160
25168,349990659,162
25168,366519958,158
25168,382789775,131
25168,386555096,123
25168,390254162,118
25168,400164598,133
25168,407918877,103
25168,413161603,129
25168,424467089,131
25168,426181839,122
25168,435726191,145
25168,438000573,67
25168,441070005,154
25168,442292269,110
25168,452795819,71
25168,465989340,121
25168,466568013,170
25168,467603452,130
25168,468886660,119
25168,469498778,132
25168,470593215,148
25168,487887760,136
25168,516054732,47
25168,516871748,102
25168,123286962,97
123286962,25244,88
123286962,30817,95
123286962,67341,69
123286962,203251,144
123286962,220072,65
123286962,241044,138
123286962,250674,88
123286962,276308,108
123286962,278301,165
123286962,307685,76
123286962,341135,52
123286962,358387,145
123286962,385125,163
123286962,438646,159
123286962,451958,82
123286962,490434,137
123286962,515201,177
123286962,550393,113
123286962,578995,48
123286962,654310,146
123286962,666436,17
123286962,718317,132
123286962,780960,134
123286962,791551,134
123286962,807635,35
123286962,848668,90
123286962,880518,145
123286962,895583,183
123286962,902967,92
123286962,939604,108
123286962,956852,145
123286962,1025204,58
123286962,1162306,151
123286962,1247733,141
123286962,1355949,110
123286962,1493725,52
123286962,1500142,59
123286962,1554549,151
123286962,1639442,122
123286962,1657984,78
123286962,1704386,161
123286962,1747883,109
123286962,1785612,188
123286962,1792593,137
123286962,1863433,108
123286962,1929132,147
123286962,1936125,130
123286962,1974229,78
123286962,1996745,161
123286962,2208815,56
123286962,2240791,153
123286962,2245876,120
123286962,2347118,143
123286962,2447361,135
123286962,2482450,105
123286962,2484141,137
123286962,2509691,87
123286962,2550295,44
123286962,2599794,77
123286962,2612212,125
123286962,2720714,132
123286962,2739036,124
123286962,2758712,130
123286962,2797712,45
123286962,2946860,165
123286962,2972115,155
123286962,3057581,109
123286962,3067018,114
123286962,3069619,182
123286962,3082139,116
123286962,3088423,70
123286962,3125825,182
123286962,3146738,43
123286962,3170996,132
123286962,3402139,148
123286962,3440316,68
123286962,3442105,64
123286962,3445658,150
123286962,3482626,132
123286962,3498216,91
123286962,3508411,101
123286962,3551884,146
123286962,3566164,168
123286962,3789532,121
123286962,3914635,128
123286962,3935619,156
123286962,3940488,137
123286962,4102414,40
123286962,4152416,52
123286962,4165372,115
123286962,4203991,112
123286962,4278433,126
123286962,4404106,125
123286962,4420104,181
123286962,4628486,118
123286962,4728372,137
123286962,4751606,81
123286962,4865028,121
123286962,5066340,133
123286962,5072128,130
123286962,5147818,147
123286962,5217766,56
123286962,5315496,148
123286962,5434631,138
123286962,5435544,119
123286962,5628750,112
123286962,5696965,116
123286962,5726668,30
123286962,5818622,161
123286962,5909740,129
123286962,6013145,74
123286962,6120703,165
123286962,6124562,120
123286962,6209055,154
123286962,6368853,160
123286962,6471245,141
123286962,6537374,155
123286962,6759373,104
123286962,7056381,81
123286962,7107877,38
123286962,7258903,107
123286962,7386595,147
123286962,7409235,127
123286962,7464607,119
123286962,7641508,142
123286962,7641514,29
123286962,7866383,72
123286962,8057165,90
123286962,8324387,99
123286962,8358725,156
123286962,8679384,65
123286962,8721395,17
123286962,8928644,126
123286962,9136999,162
123286962,9149262,42
123286962,9158973,129
123286962,9262125,77
123286962,9269323,89
123286962,9405579,69
123286962,9641698,108
123286962,9835023,134
123286962,9892983,175
123286962,9923434,149
123286962,10042554,128
123286962,10061281,125
123286962,10071505,134
123286962,10309746,99
123286962,10430931,135
123286962,10437899,161
123286962,10518385,106
123286962,10679171,17
123286962,10725682,159
123286962,10886083,176
123286962,11210076,87
123286962,11306398,109
123286962,11324974,62
123286962,11335169,153
123286962,11813508,61
123286962,12003434,45
123286962,12164669,147
123286962,12464328,161
123286962,12612881,134
123286962,12789838,133
123286962,12916467,26
123286962,13016094,118
123286962,13111268,129
123286962,13248405,115
123286962,14090098,164
123286962,14162314,102
123286962,14189070,175
123286962,14572907,143
123286962,15041895,106
123286962,15218860,56
123286962,15614267,118
123286962,15632406,107
123286962,15664822,64
123286962,16543435,172
123286962,16660509,138
123286962,16785941,135
123286962,17048914,57
123286962,17148957,108
123286962,17381839,105
123286962,18233990,95
123286962,18293734,24
123286962,19295034,94
123286962,19527481,114
